ID;Ort;f1;f2;f3_1;f3_2;f3_3;f3_4;f3_5;f3_6;f3_7;f3_8;f3_9;f3_10;f3_11;f3_txt_val;f3_txt;f4_1;f4_2;f4_3;f4_4;f4_5;f4_6;f4_7;f4_8;f4_9;f4_10;f4_11;f4_12;f4_13;f4_14;f4_txt_val;f4_txt;f5_1;f5_2;f5_3;f5_4;f5_5;f5_6;f5_7;f5_8;f5_9;f5_10;f5_11;f5_txt_val;f5_txt;f6_1;f6_2;f6_3;f6_4;f6_5;f6_6;f6_7;f6_8;f6_9;f6_txt;f7_txt;f8;f9;f10_1;f10_2;f11_1;f11_2;f11_3;f11_4;f11_5;f11_6;f11_7;f11_8;f11_9;f11_10;f11_txt;f12_1;f12_2;f12_3;f12_4;f12_5;f12_6;f12_7;f12_8;f12_9;f13_1;f13_2;f13_3;f14_txt;f15_1;f15_2;f15_3;f15_4;f15_5;f15_6;f15_7;f15_8;f15_9;f15_10;f15_11;f15_12;f15_13;f15_14;f15_15;f15_16;f15_txt_val;f15_txt;f16_1;f16_2;f16_3;f16_4;f16_5;f16_6;f16_7;f16_8;f16_9;f17;f17_Comment;f18_1;f18_2;f18_3;f18_4;f18_5;f18_6;f18_7;f18_8;f18_9;f19_1;f19_2;f19_3;f19_4;f19_5;f19_6;f19_7;f19_8;f19_9;f19_10;f20;f21;f22;f23_1;f23_2;f23_3;f23_4;f24;f25_1;f25_2;f26
29;1;10;3;3;1;2;1;1;1;1;1;2;4;1; ; ;3;3;4;3;4;4;2;3;2;4;1;1;2;2; ; ;1;1;2;2;2;1;3;2;1;2;4; ; ;1;2;2;2;2;1;2;2;1; ; ;3;2;2;2;1;0;0;0;0;0;0;0;0;0; ;0;0;0;0;1;1;1;1;0;0;0;0;Bekanntheit;2;2;1;1;2;2;2;1;4;2;2;3;3;3;1;4; ; ;2;2;2;1;2;2;2;2;2;-99; ;3;3;5;1;3;3;3;4;4;2;2;2;2;3;3;2;2;3;5;2;1;1966;11;8; ; ;"Fussball; Ballsportarten";D;82041;6
30;1;1;3;2;2;2;2;2;2;3;1;3;4;3; ; ;4;3;3;2;4;6;3;3;2;5;2;2;2;3; ; ;2;2;2;2;2;2;2;2;2;2;3; ; ;2;2;3;3;2;2;2;2;2; ; ;4;1;3;1;1;0;0;0;0;0;0;0;0;1; ;0;0;0;0;1;0;0;1;0;5;8;7; ;2;1;1;1;2;3;5;2;5;1;4;2;3;1;2;3; ; ;3;2;3;5;1;2;5;2;3;-99; ;6;4;7;2;3;4;2;4;4;3;2;2;4;2;3;2;2;2;7;3;1;1966;13;11; ; ; ;D;80;0
31;1;2;2;2;2;1;1;3;1;1;2;2;3;2; ; ;2;3;3;3;3;1;1;1;2;5;1;2;2;2; ; ;1;1;2;2;2;1;2;2;1;2;2; ; ;3;3;2;8;8;3;8;8;3; ;Frisches, hochwertiges und gut zubereitetes Fleisch (meist zäh und wenig Geschmack), Wärme der Speisen (alles lauwarm / kalt);3;3;3;2;0;0;0;0;0;0;0;0;1;0; ;0;0;0;0;1;0;0;1;0;8;5;0; ;2;3;2;3;3;7;7;3;2;2;3;2;2;2;2;3; ; ;2;2;2;3;1;3;3;77;3;-99; ;3;5;6;2;2;3;2;7;5;4;2;2;5;1;3;5;3;1;8;4;2;1978; ; ; ; ; ;D;33602;0
32;1;2;0;3;3;3;2;2;8;7;3;3;4;3; ; ;3;4;3;5;7;7;2;2;2;7;1;4;7;3; ; ;1;1;2;3;3;2;3;4;1;2;1; ; ;8;8;8;8;8;8;8;8;8; ; ;6;5;7;8;0;0;0;0;1;0;0;0;0;0; ;0;1;0;0;0;0;0;1;0;0;0;0; ;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8; ; ;7;7;7;7;7;7;7;7;7;-99; ;6;7;2;4;5;4;8;7;2;2;3;4;7;3;4;5;6;5;7;2;1;0; ; ; ; ;Handball;D;0;0
33;1;1;2;3;3;3;2;2;8;7;3;3;4;3; ; ;3;2;4;4;2;5;3;1;1;2;1;2;3;2; ; ;2;2;3;2;4;1;2;3;2;2;4; ; ;2;2;2;3;2;1;3;2;3; ; ;4;2;3;2;1;0;0;0;0;0;0;0;0;0; ;1;0;0;0;1;1;0;1;0;8;6;5; ;1;2;2;3;2;1;2;2;2;3;2;3;4;3;2;3; ; ;2;1;1;2;1;2;3;2;2;1; ;3;2;4;2;2;2;3;3;3;1;2;1;4;2;2;1;2;1;0;2;1;1988; ; ; ; ;Handball;D;66663;2
34;1;2;2;3;2;2;2;2;2;2;2;2;3;1; ; ;2;2;1;2;3;1;2;2;1;2;2;1;2;2; ; ;1;1;2;2;4;2;1;2;1;1;2; ; ;2;2;8;8;8;2;8;8;2; ; ;3;2;2;1;1;0;0;0;0;0;0;0;0;0; ;0;0;0;0;1;0;0;1;1;8;5;9;Bekanntheit;2;1;1;1;2;1;1;3;4;4;4;2;1;1;1;1; ; ;2;2;2;2;2;2;4;3;2;1; ;3;4;6;6;4;5;4;2;3;1;2;2;5;1;2;2;2;2;1;2;1;1989; ; ; ; ;"Handball; Tauchen";D;66663;0
35;1;6;3;2;2;2;2;2;2;2;2;2;3;2; ; ;3;3;4;3;5;4;2;2;2;2;2;2;2;2; ; ;1;1;1;1;1;2;1;1;2;2;2; ; ;2;2;2;2;2;2;2;2;2; ; ;2;2;2;2;1;0;0;0;0;0;0;1;0;0; ;0;1;0;0;1;1;1;1;0;6;7;2;Demeter achtet ausschließlich auf Qualität und ist sehr streng geprüft;1;1;1;1;2;2;2;2;3;1;1;1;1;1;2;2; ; ;2;1;1;1;1;2;2;2;2;-99; ;3;2;3;2;2;4;2;3;6;2;2;2;4;3;3;2;2;2;4;1;2;1969;3; ; ; ;"Lesen; Wandern";D;86916;5
36;1;6;3;1;2;2;1;1;1;2;1;2;3;2; ; ;3;3;4;3;4;3;2;1;1;3;1;1;1;2; ; ;1;1;2;1;1;1;2;1;1;1;2; ; ;1;1;1;2;2;1;8;8;1; ; ;2;2;1;1;1;0;0;0;0;0;0;1;0;0; ;1;1;0;0;1;1;1;1;0;6;5;7;Demeter hat die strngstens Qualitätsmerkmale. Alle anderen fallen hinsichtlich der Qualitätsansprüche ab. EU Biosiegel lässt zu viele Punkte (Gentechnik usw.) durch!;1;2;1;1;3;3;3;2;1;1;2;1;1;3;2;2; ; ;2;1;1;1;1;2;3;2;2;-99; ;2;1;7;4;1;7;2;2;6;3;5;2;2;2;2;2;2;2;7;4;1;1972;3; ; ; ;"Squasch; Radfahren; Yoga; Lesen; Wandern";D;86916;5
37;1;4;1;4;1;1;1;1;1;1;1;1;1;1; ; ;6;3;7;4;2;7;1;1;2;1;1;1;1;1; ; ;1;1;1;1;1;1;1;1;1;1;1; ; ;2;1;2;2;2;2;8;8;2; ; ;2;1;1;1;1;0;0;0;0;0;0;0;0;0; ;0;0;0;1;1;1;0;1;0;5;8;6;Weil ich die Lebensmittel dort beziehe und daher beurteilen kann;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0; ; ;1;1;1;2;1;2;2;1;1;0; ;1;8;8;4;1;7;1;3;2;2;2;1;3;1;1;2;1;1;1;3;2;1961;24;21;9; ;"Sport; Reisen; Lesen";D;84066;0
38;1;0;0;2;2;1;2;1;4;2;1;1;3;3; ; ;4;4;4;3;6;6;1;1;1;3;1;1;3;4; ; ;2;2;2;3;4;0;4;4;8;8;8; ; ;1;2;1;8;8;8;8;8;8; ; ;4;4;4;8;1;0;0;0;0;0;0;0;0;0; ;0;1;0;0;1;0;0;1;0;0;0;0; ;4;1;3;3;3;3;3;2;1;1;1;2;1;1;1;4; ; ;1;1;1;8;8;6;7;7;7;-99; ;6;7;6;2;6;8;8;2;4;1;3;1;3;1;1;1;1;1;7;4;2;1978; ; ; ; ; ;D;92637;3
